                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.90999,                 2.6554,                0.96805,                      1,                0.35462,                0.60744,                0.48828,                0.64528,                 4.5513,                0.79722,             0.00035725,             0.00035725,             0.00035725
                      1,                0.70666,                 1.3696,                0.90019,                      1,                0.18823,                0.70612,                0.61789,                 0.6484,                  4.494,                0.82464,             0.00071436,             0.00071436,             0.00071436
                      2,                0.67035,                 1.1513,                0.89713,                      1,                0.53216,                0.84475,                0.73125,                0.74471,                 3.7289,                0.84476,              0.0010568,              0.0010568,              0.0010568
                      3,                 0.6591,                  1.074,                0.89887,                0.96847,                0.89259,                0.97404,                0.83585,                0.63124,                 2.7889,                0.84217,              0.0013441,              0.0013441,              0.0013441
                      4,                0.63567,                 1.0153,                 0.9006,                0.97869,                 0.9152,                0.98844,                0.85969,                0.63366,                 2.2776,                0.84972,              0.0013441,              0.0013441,              0.0013441
                      5,                0.61321,                0.87338,                0.88438,                0.96037,                0.93121,                0.98647,                0.85401,                0.60246,                 1.7926,                0.84253,              0.0013158,              0.0013158,              0.0013158
                      6,                0.59324,                0.82763,                0.88727,                0.95808,                0.96528,                0.98532,                0.86521,                0.52905,                 1.5365,                0.83305,              0.0012875,              0.0012875,              0.0012875
                      7,                0.56946,                0.75111,                0.87619,                0.97572,                0.95384,                0.99369,                0.85732,                0.56237,                 1.6445,                0.84051,              0.0012592,              0.0012592,              0.0012592
                      8,                0.52935,                0.69805,                0.88006,                0.95609,                0.96222,                 0.9882,                0.90139,                0.52153,                 1.3666,                0.84115,              0.0012309,              0.0012309,              0.0012309
                      9,                0.52647,                0.64646,                0.86083,                0.97162,                0.95147,                0.98567,                0.88303,                0.50915,                 1.2657,                0.81061,              0.0012026,              0.0012026,              0.0012026
                     10,                0.53445,                0.63595,                0.88464,                 0.9715,                0.95139,                0.98504,                0.90159,                0.48741,                 1.1603,                0.82748,              0.0011744,              0.0011744,              0.0011744
                     11,                0.51034,                0.60632,                0.85229,                0.96062,                 0.9716,                0.99035,                0.86872,                0.57682,                0.95869,                0.83911,              0.0011461,              0.0011461,              0.0011461
                     12,                0.46907,                0.58015,                0.85149,                0.98229,                0.95833,                0.99179,                0.89615,                0.48191,                0.85866,                0.80694,              0.0011178,              0.0011178,              0.0011178
                     13,                0.50027,                0.56756,                0.86084,                0.95859,                0.96373,                0.99003,                0.89783,                0.45371,                0.84479,                0.81144,              0.0010895,              0.0010895,              0.0010895
                     14,                 0.4617,                0.54036,                0.85765,                0.96388,                0.98766,                0.98865,                 0.9185,                0.39629,                0.72433,                0.78862,              0.0010612,              0.0010612,              0.0010612
                     15,                0.46937,                 0.5202,                0.85308,                0.99089,                0.94294,                0.99253,                0.91214,                0.46934,                0.70559,                0.80501,              0.0010329,              0.0010329,              0.0010329
                     16,                0.47223,                0.51538,                0.85511,                0.96555,                0.99306,                0.99239,                0.90655,                0.47737,                0.67508,                0.80549,              0.0010046,              0.0010046,              0.0010046
                     17,                0.45683,                0.47745,                0.85048,                0.96934,                0.99948,                0.99368,                0.90413,                 0.4586,                0.57251,                0.80008,             0.00097629,             0.00097629,             0.00097629
                     18,                0.43366,                 0.4694,                0.84334,                  0.971,                0.95704,                0.98989,                0.89526,                0.40008,                0.60117,                0.79554,               0.000948,               0.000948,               0.000948
                     19,                0.42317,                0.45623,                0.85122,                0.96564,                0.97012,                0.99037,                0.91443,                0.38567,                0.59819,                0.79351,              0.0009197,              0.0009197,              0.0009197
                     20,                0.41563,                0.43527,                0.84611,                0.94887,                0.98282,                0.99171,                0.91561,                0.46775,                0.61005,                0.80945,             0.00089141,             0.00089141,             0.00089141
                     21,                0.41019,                0.43192,                0.84942,                0.93971,                0.97416,                0.99066,                0.90823,                0.43129,                0.63636,                 0.8043,             0.00086312,             0.00086312,             0.00086312
                     22,                0.40332,                0.41745,                0.84857,                0.95291,                0.95486,                0.99173,                 0.9284,                 0.4373,                0.56719,                0.79575,             0.00083482,             0.00083482,             0.00083482
                     23,                0.38666,                 0.3999,                0.83509,                0.97016,                0.97364,                0.99154,                0.92207,                0.42561,                0.46032,                 0.8001,             0.00080653,             0.00080653,             0.00080653
