                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.95647,                 3.7723,                 1.2354,                0.12054,                0.43115,                0.19667,                 0.1443,                0.88145,                 3.6871,                 1.1181,             0.00013627,             0.00013627,             0.00013627
                      1,                 1.0534,                 2.6722,                 1.2891,                0.67458,                0.38651,                 0.4345,                0.29632,                 1.0932,                 2.4335,                 1.2744,             0.00026982,             0.00026982,             0.00026982
                      2,                 1.1101,                  2.127,                 1.3397,                0.65244,                0.43803,                0.50135,                0.33512,                 1.1117,                 1.9679,                 1.3077,             0.00039787,             0.00039787,             0.00039787
                      3,                 1.1026,                 1.9431,                 1.3212,                0.58507,                0.48171,                0.51663,                0.34271,                 1.1583,                  1.984,                 1.3694,             0.00039223,             0.00039223,             0.00039223
                      4,                  1.082,                 1.8362,                 1.3156,                 0.6358,                0.49372,                 0.5508,                0.35081,                 1.2113,                 1.8896,                 1.4157,             0.00039223,             0.00039223,             0.00039223
                      5,                 1.0785,                 1.7407,                 1.3045,                0.62173,                0.51611,                0.56928,                0.36702,                 1.1858,                 1.8223,                 1.3887,             0.00038397,             0.00038397,             0.00038397
                      6,                 1.0535,                 1.6949,                 1.3009,                0.55738,                0.53328,                0.55927,                0.37631,                 1.1889,                 1.8365,                 1.4184,             0.00037572,             0.00037572,             0.00037572
                      7,                 1.0428,                 1.6555,                 1.2737,                0.61637,                0.53814,                0.55463,                0.36672,                 1.2282,                 1.9098,                 1.4216,             0.00036746,             0.00036746,             0.00036746
                      8,                 1.0477,                 1.5737,                 1.2726,                0.62572,                0.53479,                0.55631,                0.36183,                 1.1618,                 1.6959,                  1.364,              0.0003592,              0.0003592,              0.0003592
                      9,                 1.0068,                 1.5285,                 1.2543,                0.63263,                0.49579,                0.54635,                 0.3308,                 1.2459,                 1.7526,                 1.4133,             0.00035095,             0.00035095,             0.00035095
                     10,                0.99362,                 1.5092,                   1.25,                0.57573,                0.54834,                0.55421,                0.37265,                 1.1752,                  1.789,                 1.3817,             0.00034269,             0.00034269,             0.00034269
                     11,                0.99146,                  1.445,                 1.2393,                0.56295,                0.52163,                0.54096,                0.34926,                 1.2652,                 1.8338,                 1.4545,             0.00033443,             0.00033443,             0.00033443
                     12,                0.97438,                 1.4309,                 1.2359,                0.66173,                0.51388,                0.57698,                0.38925,                 1.1506,                 1.6949,                 1.3499,             0.00032618,             0.00032618,             0.00032618
                     13,                0.95263,                 1.3548,                  1.217,                0.68457,                0.49795,                0.57187,                0.37287,                 1.1835,                 1.6685,                 1.3812,             0.00031792,             0.00031792,             0.00031792
                     14,                0.94634,                 1.3614,                 1.2216,                0.61088,                 0.5395,                0.58195,                0.37857,                 1.1823,                 1.6346,                 1.3796,             0.00030966,             0.00030966,             0.00030966
                     15,                0.94507,                 1.2998,                 1.1889,                0.63946,                0.56264,                0.59905,                0.39913,                 1.1804,                 1.6313,                 1.3791,             0.00030141,             0.00030141,             0.00030141
                     16,                0.90813,                 1.2979,                 1.2006,                0.65725,                0.55467,                0.60564,                0.40315,                 1.1889,                 1.5488,                 1.4008,             0.00029315,             0.00029315,             0.00029315
                     17,                 0.9223,                 1.2692,                 1.1929,                0.67059,                0.58327,                0.61461,                0.41922,                  1.163,                 1.5743,                 1.3609,             0.00028489,             0.00028489,             0.00028489
                     18,                0.91196,                 1.2314,                 1.1794,                0.66279,                0.56698,                0.60478,                0.40744,                 1.1676,                 1.5803,                 1.3717,             0.00027664,             0.00027664,             0.00027664
                     19,                0.88622,                 1.2047,                 1.1739,                0.66569,                0.56953,                0.59596,                0.40104,                 1.1671,                 1.5894,                 1.3813,             0.00026838,             0.00026838,             0.00026838
                     20,                0.90557,                 1.2084,                 1.1811,                0.69211,                0.53413,                0.59988,                0.40531,                  1.183,                 1.5725,                 1.3733,             0.00026012,             0.00026012,             0.00026012
                     21,                0.87707,                 1.1721,                 1.1654,                0.70259,                0.57484,                0.62035,                 0.4195,                  1.184,                 1.4795,                  1.367,             0.00025187,             0.00025187,             0.00025187
                     22,                0.86968,                  1.134,                 1.1665,                0.73412,                0.54565,                0.62778,                0.42338,                 1.1811,                 1.4903,                 1.3655,             0.00024361,             0.00024361,             0.00024361
                     23,                0.85854,                 1.1066,                 1.1485,                0.68382,                0.53614,                0.59319,                0.39371,                 1.1637,                 1.5495,                 1.3763,             0.00023535,             0.00023535,             0.00023535
                     24,                0.84644,                 1.1187,                  1.159,                0.70287,                0.51825,                0.59864,                  0.402,                 1.1964,                 1.5209,                 1.4015,              0.0002271,              0.0002271,              0.0002271
                     25,                 0.8693,                 1.1025,                 1.1579,                0.71258,                0.56148,                0.62173,                0.42069,                 1.1735,                 1.4768,                 1.3843,             0.00021884,             0.00021884,             0.00021884
                     26,                0.82815,                 1.0779,                 1.1478,                0.73734,                0.53717,                0.60146,                0.39528,                  1.188,                 1.5794,                 1.3956,             0.00021059,             0.00021059,             0.00021059
                     27,                0.82493,                 1.0657,                 1.1413,                0.75661,                0.51224,                0.61305,                0.41657,                 1.1606,                 1.4754,                 1.3612,             0.00020233,             0.00020233,             0.00020233
                     28,                0.83685,                 1.0479,                 1.1424,                0.63671,                0.55337,                0.59938,                0.41334,                 1.1509,                 1.4597,                 1.3594,             0.00019407,             0.00019407,             0.00019407
                     29,                0.79543,                 1.0163,                 1.1176,                0.72843,                0.53615,                0.62075,                 0.4264,                  1.148,                 1.4342,                 1.3406,             0.00018582,             0.00018582,             0.00018582
                     30,                0.80493,                 1.0239,                  1.126,                0.70041,                0.57035,                0.64186,                0.44333,                 1.1356,                 1.4545,                 1.3636,             0.00017756,             0.00017756,             0.00017756
                     31,                0.79943,                0.99927,                 1.1288,                0.64436,                 0.5984,                 0.6393,                 0.4385,                 1.1707,                 1.4146,                 1.3692,              0.0001693,              0.0001693,              0.0001693
                     32,                0.79232,                0.99266,                 1.1107,                0.69993,                0.56693,                0.63187,                0.43414,                 1.1503,                 1.4369,                  1.372,             0.00016105,             0.00016105,             0.00016105
                     33,                   0.77,                0.98467,                 1.1077,                0.77612,                0.54988,                0.64095,                0.44953,                 1.1412,                 1.4253,                 1.3607,             0.00015279,             0.00015279,             0.00015279
                     34,                0.79147,                 0.9572,                  1.107,                0.69804,                0.58941,                0.63074,                 0.4402,                 1.1714,                 1.4552,                   1.38,             0.00014453,             0.00014453,             0.00014453
                     35,                0.77531,                 0.9418,                 1.0987,                0.68315,                0.60567,                0.63015,                0.43471,                 1.1552,                 1.4177,                 1.3498,             0.00013628,             0.00013628,             0.00013628
                     36,                0.77803,                0.94001,                    1.1,                0.70737,                0.60198,                0.64743,                0.45146,                  1.107,                 1.3722,                 1.3222,             0.00012802,             0.00012802,             0.00012802
                     37,                0.74458,                0.89108,                 1.0841,                0.64924,                0.62713,                0.64579,                0.45371,                 1.1356,                 1.3839,                  1.348,             0.00011976,             0.00011976,             0.00011976
                     38,                0.76787,                0.92216,                 1.1006,                0.73248,                0.56854,                0.63911,                0.44649,                 1.1198,                 1.4045,                 1.3296,             0.00011151,             0.00011151,             0.00011151
                     39,                0.75714,                0.91219,                  1.096,                0.79294,                  0.565,                0.64707,                0.45583,                 1.1207,                 1.4021,                 1.3305,             0.00010325,             0.00010325,             0.00010325
                     40,                0.75199,                0.99293,                 1.0625,                 0.6726,                0.57858,                 0.6049,                0.41748,                 1.1706,                 1.4649,                 1.4042,             9.4993e-05,             9.4993e-05,             9.4993e-05
                     41,                0.72475,                0.93942,                 1.0558,                0.71325,                0.56486,                0.61514,                0.43341,                 1.1324,                 1.4048,                 1.3674,             8.6736e-05,             8.6736e-05,             8.6736e-05
                     42,                 0.6929,                0.88462,                  1.041,                 0.7553,                0.57299,                 0.6375,                0.44122,                 1.1414,                 1.3981,                 1.3625,             7.8479e-05,             7.8479e-05,             7.8479e-05
                     43,                0.67329,                0.84419,                 1.0161,                0.74519,                0.57579,                 0.6361,                0.43882,                 1.1412,                 1.3817,                 1.3587,             7.0223e-05,             7.0223e-05,             7.0223e-05
                     44,                0.67592,                 0.8452,                 1.0247,                0.75603,                0.57428,                0.64531,                0.44876,                 1.1348,                  1.395,                 1.3569,             6.1966e-05,             6.1966e-05,             6.1966e-05
                     45,                0.65764,                0.81792,                 1.0178,                0.73656,                0.59776,                0.65257,                0.45291,                 1.1203,                  1.385,                 1.3442,              5.371e-05,              5.371e-05,              5.371e-05
                     46,                0.65276,                0.79082,                 1.0056,                0.76546,                 0.5859,                0.65269,                0.45421,                 1.1176,                 1.3698,                 1.3473,             4.5453e-05,             4.5453e-05,             4.5453e-05
                     47,                0.63378,                0.79537,                 1.0052,                0.78762,                0.57591,                 0.6552,                0.45893,                 1.1147,                 1.3577,                 1.3478,             3.7196e-05,             3.7196e-05,             3.7196e-05
                     48,                0.63286,                0.77373,                0.99207,                0.77992,                0.58027,                0.65798,                0.45908,                  1.106,                 1.3696,                 1.3403,              2.894e-05,              2.894e-05,              2.894e-05
                     49,                0.63425,                0.78756,                 0.9989,                0.79607,                0.58301,                0.66062,                0.46265,                 1.1004,                  1.352,                 1.3337,             2.0683e-05,             2.0683e-05,             2.0683e-05
